GameNumber,Link,VisitorTeam,VisitorTeamAbbre,VisitorTeamScore,VisitorTeamGoal,VisitorTeamGoaler,HomeTeam,HomeTeamAbbre,HomeTeamScore,HomeTeamGoal,HomeTeamGoaler
Pro86,LTLHL-PLF-86.php,Team 3,TM3,0,,Joacim Magnusson (TM3): 5 saves from 6 shots - (0.833): 25:59 minutes Pasquale Ruf (TM3): 17 saves from 20 shots - (0.850): L: 8-5-1: 34:01 minutes ,Team 17,T17,4,Kevin Whalen(1): Arvid Tonnesen(3): Kris Wright(8): Paul Watts(7),Shyngyskhan Goncharova (T17): 29 saves from 29 shots - (1.000): W: 8-2-1: 60:00 minutes 
Farm86,LTLHL-PLF-Farm-86.php,Farm Team 17,F17,5,Jude Turner(8:9): Gavin Lagace(3): Stanislav Gromova(3:4),Ted Dunlop (F17): 37 saves from 40 shots - (0.925): W: 9-4-0: 60:00 minutes ,Farm Team 15,F15,3,Zdenek Vician(3): Benno Liedtke(4): Valerka Zotov(4),Randy Daigle (F15): 28 saves from 33 shots - (0.848): L: 8-3-0: 60:00 minutes 
Pro87,LTLHL-PLF-87.php,Team 2,TM2,5,Fernando Chan(1): Dustin Rodrigue(9): Gregory Theriault(5): Tikhon Bocharova(7): Jan-Erik Toivola(2),Blake Hansen (TM2): 29 saves from 32 shots - (0.906): W: 8-1-0: 60:00 minutes ,Team 18,T18,3,Gilles Winter(4): Andy Henry(6): Joachim Norin(1),Phil Browning (T18): 18 saves from 20 shots - (0.900): L: 0-1-1: 34:31 minutes Robt Mcmahon (T18): 11 saves from 14 shots - (0.786): 25:29 minutes 
Farm87,LTLHL-PLF-Farm-87.php,Farm Team 16,F16,4,Nick Monette(8:9): Terrance Coleman(1): Ed Leonard(10),Rob Dickson (F16): 31 saves from 33 shots - (0.939): W: 9-2-2: 60:00 minutes ,Farm Team 2,FT2,2,Henrik Parkkonen(2): Ludovit Kohoutova(1),Antonio Day (FT2): 22 saves from 26 shots - (0.846): L: 9-2-1: 60:00 minutes 
Pro88,LTLHL-PLF-88.php,Team 3,TM3,4,Daniel Russell(4): Rinat Sizova(1): Dale Henderson(1): Yury Rogov(2),Pasquale Ruf (TM3): 26 saves from 27 shots - (0.963): W: 9-5-1: 60:00 minutes ,Team 17,T17,1,Pentti Puttonen(3),Shyngyskhan Goncharova (T17): 23 saves from 26 shots - (0.885): L: 8-3-1: 47:19 minutes Thanh Marcoux (T17): 4 saves from 5 shots - (0.800): 12:41 minutes 
Farm88,LTLHL-PLF-Farm-88.php,Farm Team 17,F17,3,Carsten Fricke(7:8): Herbert Roberts(11),Reg Newman (F17): 26 saves from 27 shots - (0.963): 32:59 minutes Ted Dunlop (F17): 10 saves from 14 shots - (0.714): L: 9-5-0: 27:01 minutes ,Farm Team 15,F15,5,Randy Ma(1): Zdenek Vician(4): Benno Liedtke(5): Giovanni Larochelle(8:9),Randy Daigle (F15): 30 saves from 33 shots - (0.909): W: 9-3-0: 60:00 minutes 
Pro89,LTLHL-PLF-89.php,Team 18,T18,2,Fredric Klingberg(4): Lee Hu(7),Phil Browning (T18): 19 saves from 22 shots - (0.864): 23:07 minutes Robt Mcmahon (T18): 19 saves from 22 shots - (0.864): L: 8-2-0: 36:53 minutes ,Team 2,TM2,6,Dustin Rodrigue(10:11): Gregory Theriault(6): Gerhard Kratz(3): Chi Cantin(1): Yvon Prince(1),Blake Hansen (TM2): 17 saves from 19 shots - (0.895): W: 9-1-0: 60:00 minutes 
Farm89,LTLHL-PLF-Farm-89.php,Farm Team 2,FT2,3,Mitchell Fitzgerald(7:8): Jyrki Takala(1),Antonio Day (FT2): 29 saves from 33 shots - (0.879): OTL: 9-2-2: 63:44 minutes ,Farm Team 16,F16,4,Elias Sanchez(3:4): Bastian Wittmann(3): Nick Monette(10),Rob Dickson (F16): 33 saves from 36 shots - (0.917): W: 10-2-2: 63:44 minutes 
Pro90,LTLHL-PLF-90.php,Team 17,T17,2,Arvid Tonnesen(4): Paul Watts(8),Shyngyskhan Goncharova (T17): 17 saves from 18 shots - (0.944): W: 9-3-1: 61:29 minutes ,Team 3,TM3,1,Robert Maloney(6),Pasquale Ruf (TM3): 21 saves from 23 shots - (0.913): OTL: 9-5-2: 61:29 minutes 
Farm90,LTLHL-PLF-Farm-90.php,Farm Team 15,F15,3,Kim Khokhlov(3): Zdenek Vician(5): Armand Signer(4),Lucien Funk (F15): 14 saves from 14 shots - (1.000): 24:47 minutes Randy Daigle (F15): 22 saves from 27 shots - (0.815): L: 9-4-0: 35:13 minutes ,Farm Team 17,F17,5,Carsten Fricke(9:10): Glen Sampson(1): Herbert Roberts(12): Stanislav Gromova(5),Ted Dunlop (F17): 36 saves from 39 shots - (0.923): W: 10-5-0: 60:00 minutes 
Pro91,LTLHL-PLF-91.php,Team 18,T18,7,Jason Trujillo(6:7): Joachim Norin(2:3): Lester Farmer(3:4): Geo Monette(2),Robt Mcmahon (T18): 46 saves from 50 shots - (0.920): W: 9-2-0: 60:00 minutes ,Team 2,TM2,4,Gregory Theriault(7): Tikhon Bocharova(8): Jan-Erik Toivola(3): Kai Becker(5),Blake Hansen (TM2): 4 saves from 8 shots - (0.500): 19:50 minutes Ian Zhao (TM2): 21 saves from 24 shots - (0.875): L: 2-1-0: 40:10 minutes 
Farm91,LTLHL-PLF-Farm-91.php,Farm Team 2,FT2,3,Yvon Mcneil(1): Rodney Hall(5): Peter Chabot(2),Antonio Day (FT2): 30 saves from 34 shots - (0.882): OTL: 9-2-3: 64:27 minutes ,Farm Team 16,F16,4,Bastian Wittmann(4): Suleyman Valeev(6): Nick Monette(11): Kenneth Kelly(3),Evan Tucker (F16): 19 saves from 19 shots - (1.000): W: 1-0-0: 50:41 minutes Rob Dickson (F16): 3 saves from 6 shots - (0.500): 13:30 minutes 
Pro92,LTLHL-PLF-92.php,Team 17,T17,4,Walter Turnbull(8:9): Arvid Tonnesen(5:6),Shyngyskhan Goncharova (T17): 10 saves from 14 shots - (0.714): 28:10 minutes Thanh Marcoux (T17): 9 saves from 10 shots - (0.900): OTL: 1-0-1: 38:19 minutes ,Team 3,TM3,5,Ali Ermakovich(2:3): Ramin Semenova(2): John Holma(1): Jean Straub(6),Pasquale Ruf (TM3): 22 saves from 26 shots - (0.846): W: 10-5-2: 66:29 minutes 
Farm92,LTLHL-PLF-Farm-92.php,Farm Team 15,F15,3,Zdenek Vician(6): Kent Navarro(2): Ilnaz Dyomin(2),Randy Daigle (F15): 30 saves from 35 shots - (0.857): L: 9-5-0: 60:00 minutes ,Farm Team 17,F17,5,Herbert Roberts(13): Jose Jovanovic(2): Gavin Lagace(4): Igor Gromova(3): Aleksandr Borisenko(2),Reg Newman (F17): 13 saves from 13 shots - (1.000): W: 1-0-0: 21:38 minutes Ted Dunlop (F17): 15 saves from 18 shots - (0.833): 38:22 minutes 
Pro93,LTLHL-PLF-93.php,Team 2,TM2,5,Dustin Rodrigue(12): Gregory Theriault(8): Chi Cantin(2): Kai Becker(6:7),Blake Hansen (TM2): 10 saves from 14 shots - (0.714): 37:20 minutes Ian Zhao (TM2): 10 saves from 13 shots - (0.769): L: 2-2-0: 22:40 minutes ,Team 18,T18,7,Jason Trujillo(8): Gilles Winter(5): Andy Henry(7): Lester Farmer(5:6): Max Rodgers(2): Mohammad Raymond(2),Robt Mcmahon (T18): 20 saves from 25 shots - (0.800): W: 10-2-0: 60:00 minutes 
Farm93,LTLHL-PLF-Farm-93.php,Farm Team 16,F16,3,Rune Berntsson(1): Ed Leonard(11): Tibor Kasparkova(4),Rob Dickson (F16): 30 saves from 35 shots - (0.857): L: 10-3-2: 60:00 minutes ,Farm Team 2,FT2,5,Nicolas Houston(4): Matvey Kryukov(5): Mitchell Fitzgerald(9): Rodney Hall(6): Peter Chabot(3),Antonio Day (FT2): 2 saves from 5 shots - (0.400): 28:27 minutes Gregory Horner (FT2): 8 saves from 8 shots - (1.000): W: 1-0-0: 31:33 minutes 
Pro94,LTLHL-PLF-94.php,Team 3,TM3,2,Hans Heimonen(7): Ingvar Borgstrom(3),Pasquale Ruf (TM3): 21 saves from 22 shots - (0.955): W: 11-5-2: 60:00 minutes ,Team 17,T17,1,Aysen Sadykov(4),Shyngyskhan Goncharova (T17): 20 saves from 22 shots - (0.909): L: 9-4-1: 60:00 minutes 
Farm94,LTLHL-PLF-Farm-94.php,Farm Team 17,F17,3,Carsten Fricke(11): Jude Turner(10): Bob Carriere(2),Ted Dunlop (F17): 37 saves from 39 shots - (0.949): W: 11-5-0: 60:00 minutes ,Farm Team 15,F15,2,Kyle Carter(11): Carl Hu(1),Randy Daigle (F15): 24 saves from 27 shots - (0.889): L: 9-6-0: 59:00 minutes 
Pro95,LTLHL-PLF-95.php,Team 18,T18,5,Jason Trujillo(9): Fredric Klingberg(5): Lester Farmer(7): Lee Hu(8:9),Robt Mcmahon (T18): 16 saves from 16 shots - (1.000): W: 11-2-0: 60:00 minutes ,Team 2,TM2,0,,Blake Hansen (TM2): 25 saves from 28 shots - (0.893): L: 9-2-0: 44:04 minutes Ian Zhao (TM2): 7 saves from 9 shots - (0.778): 15:56 minutes 
Farm95,LTLHL-PLF-Farm-95.php,Farm Team 2,FT2,5,Henrik Parkkonen(3:4): Yvon Mcneil(2): Matvey Kryukov(6): Milos Polacek(2),Antonio Day (FT2): 10 saves from 14 shots - (0.714): 27:56 minutes Gregory Horner (FT2): 17 saves from 17 shots - (1.000): W: 2-0-0: 40:24 minutes ,Farm Team 16,F16,4,Elias Sanchez(5): Nick Monette(12): Kenneth Kelly(4): Ossi Utriainen(2),Rob Dickson (F16): 36 saves from 41 shots - (0.878): OTL: 10-3-3: 68:20 minutes 
Pro96,LTLHL-PLF-96.php,Team 17,T17,0,,Shyngyskhan Goncharova (T17): 22 saves from 24 shots - (0.917): L: 9-5-1: 60:00 minutes ,Team 3,TM3,2,Ramin Semenova(3): Yury Rogov(3),Pasquale Ruf (TM3): 17 saves from 17 shots - (1.000): W: 12-5-2: 60:00 minutes 
Pro97,LTLHL-PLF-97.php,Team 2,TM2,2,Richard Mcintosh(5): Gerhard Kratz(4),Blake Hansen (TM2): 33 saves from 36 shots - (0.917): OTL: 9-2-1: 61:53 minutes ,Team 18,T18,3,Jason Trujillo(10:11): Joachim Norin(4),Robt Mcmahon (T18): 26 saves from 28 shots - (0.929): W: 12-2-0: 61:53 minutes 
Farm97,LTLHL-PLF-Farm-97.php,Farm Team 16,F16,4,Bastian Wittmann(5:6): Suleyman Valeev(7): Terrance Coleman(2),Rob Dickson (F16): 31 saves from 34 shots - (0.912): W: 11-3-3: 61:27 minutes ,Farm Team 2,FT2,3,Bob Cooke(2): Mitchell Fitzgerald(10): Peter Chabot(4),Antonio Day (FT2): 4 saves from 7 shots - (0.571): 21:57 minutes Gregory Horner (FT2): 24 saves from 25 shots - (0.960): OTL: 2-0-1: 39:14 minutes 
Pro99,LTLHL-PLF-99.php,Team 3,TM3,2,Rinat Sizova(2): Ingvar Borgstrom(4),Pasquale Ruf (TM3): 28 saves from 32 shots - (0.875): L: 12-6-2: 60:00 minutes ,Team 18,T18,4,Jason Trujillo(12): Joachim Norin(5): Francis Franklin(2): Mohammad Raymond(3),Robt Mcmahon (T18): 18 saves from 20 shots - (0.900): W: 13-2-0: 60:00 minutes 
Farm99,LTLHL-PLF-Farm-99.php,Farm Team 17,F17,2,Herbert Roberts(14): Jose Jovanovic(3),Reg Newman (F17): 7 saves from 9 shots - (0.778): 18:30 minutes Ted Dunlop (F17): 20 saves from 23 shots - (0.870): L: 11-6-0: 41:30 minutes ,Farm Team 16,F16,5,Rune Berntsson(2): Suleyman Valeev(8): Nick Monette(13:14): Tibor Kasparkova(5),Rob Dickson (F16): 24 saves from 26 shots - (0.923): W: 12-3-3: 60:00 minutes 
Pro100,LTLHL-PLF-100.php,Team 3,TM3,2,Angus Penner(3): Jean Straub(7),Pasquale Ruf (TM3): 24 saves from 27 shots - (0.889): L: 12-7-2: 59:52 minutes ,Team 18,T18,3,Jason Trujillo(13:14): Geo Monette(3),Robt Mcmahon (T18): 24 saves from 26 shots - (0.923): W: 14-2-0: 60:00 minutes 
Farm100,LTLHL-PLF-Farm-100.php,Farm Team 17,F17,1,Glen Sampson(2),Reg Newman (F17): 9 saves from 10 shots - (0.900): 17:04 minutes Ted Dunlop (F17): 10 saves from 13 shots - (0.769): L: 11-7-0: 42:56 minutes ,Farm Team 16,F16,4,Suleyman Valeev(9): Nick Monette(15): Pascal Berthiaume(1): Ed Leonard(12),Rob Dickson (F16): 26 saves from 27 shots - (0.963): W: 13-3-3: 60:00 minutes 
Pro101,LTLHL-PLF-101.php,Team 18,T18,1,Andy Henry(8),Phil Browning (T18): 20 saves from 22 shots - (0.909): 47:35 minutes Robt Mcmahon (T18): 14 saves from 17 shots - (0.824): L: 14-3-0: 12:25 minutes ,Team 3,TM3,5,Daniel Russell(5:6): Cameron George(4): Robert Maloney(7:8),Pasquale Ruf (TM3): 26 saves from 27 shots - (0.963): W: 13-7-2: 60:00 minutes 
Farm101,LTLHL-PLF-Farm-101.php,Farm Team 16,F16,0,,Rob Dickson (F16): 34 saves from 37 shots - (0.919): L: 13-4-3: 60:00 minutes ,Farm Team 17,F17,3,Carsten Fricke(12): Bob Carriere(3): Aleksandr Borisenko(3),Ted Dunlop (F17): 22 saves from 22 shots - (1.000): W: 12-7-0: 60:00 minutes 
Pro102,LTLHL-PLF-102.php,Team 18,T18,5,Jason Trujillo(15): Lester Farmer(8): Vladislav Rakhmanianov(1): Lee Hu(10): Mohammad Raymond(4),Robt Mcmahon (T18): 16 saves from 18 shots - (0.889): W: 15-3-0: 60:00 minutes ,Team 3,TM3,2,Cameron George(5): Jean Straub(8),Joacim Magnusson (TM3): 18 saves from 20 shots - (0.900): 44:58 minutes Pasquale Ruf (TM3): 7 saves from 10 shots - (0.700): L: 13-8-2: 15:02 minutes 
Farm102,LTLHL-PLF-Farm-102.php,Farm Team 16,F16,3,Nick Monette(16): Gustav Hruby(3): Ossi Utriainen(3),Rob Dickson (F16): 17 saves from 17 shots - (1.000): W: 14-4-3: 60:00 minutes ,Farm Team 17,F17,0,,Reg Newman (F17): 15 saves from 15 shots - (1.000): 30:51 minutes Ted Dunlop (F17): 14 saves from 17 shots - (0.824): L: 12-8-0: 29:09 minutes 
Pro103,LTLHL-PLF-103.php,Team 3,TM3,3,Daniel Russell(7): Ramin Semenova(4): Rinat Sizova(3),Pasquale Ruf (TM3): 41 saves from 45 shots - (0.911): L: 13-9-2: 59:33 minutes ,Team 18,T18,4,Jason Trujillo(16): Gilles Winter(6:7): Vladislav Rakhmanianov(2),Robt Mcmahon (T18): 18 saves from 21 shots - (0.857): W: 16-3-0: 60:00 minutes 
Farm103,LTLHL-PLF-Farm-103.php,Farm Team 17,F17,2,Herbert Roberts(15): Jim Denis(2),Reg Newman (F17): 25 saves from 26 shots - (0.962): 46:27 minutes Ted Dunlop (F17): 9 saves from 12 shots - (0.750): L: 12-9-0: 13:33 minutes ,Farm Team 16,F16,4,Suleyman Valeev(10:11): Nick Monette(17): Pascal Berthiaume(2),Rob Dickson (F16): 22 saves from 24 shots - (0.917): W: 15-4-3: 60:00 minutes 
